"liver_S7"	"brain_S7"	"muscle_S7"	"heart_S7"	"kidney_S7"	"lung_S7"	"liver_S12"	"brain_S12"	"muscle_S12"	"heart_S12"	"kidney_S12"	"lung_S12"	"liver_S13"	"brain_S13"	"muscle_S13"	"heart_S13"	"kidney_S13"	"lung_S13"
"WDR85"	217.69	282.56	200.39	180.59	216.72	296.63	193.89	323.06	128.13	121.62	236.34	486.34	122.2	408.21	158.9	128.35	258.09	299.98
"WDR86"	6	53	0	0	15	59	8	141	1	0	27	14	33	15	0	3	33	26
"WDR86-AS1"	4	5	2	1	9	160	0	2	1	2	11	5	3	4	7	0	10	49
"WDR87"	0	0	1	0	0	0	0	0	1	0	0	5	0	0	0	0	0	0
"WDR88"	0	1	0	0	0	0	0	0	1	0	3	0	0	2	1	0	3	0
"WDR89"	529	834	389	287	815	486	264	705	303	191	680	331	380	1693	465	211	812	551
"WDR90"	248	127	100	78	622	832	299	308	99	104	417	428	320	403	99	111	699	557
"WDR91"	328	723	323	164	1971	1010	685	822	185	121	3050	761	504	1315	271	231	2355	1036
"WDR92"	225	271	282	222	228	285	95	351	162	69	289	172	128	385	386	154	228	210
"WDR93"	7	3	1	2	91	165	2	12	0	0	41	12	3	2	0	1	57	29
"WDR96"	35	183	2	3	549	2365	12	192	4	2	563	99	64	181	6	8	512	691
"WDSUB1"	144	219	151	208	515	406	54	286	81	92	728	269	180	314	103	135	656	359
"WDTC1"	1002	1819	1733	1647	1641	2042	1545	3224	2841	1057	1889	1280	1223	2293	2053	1687	1773	1838
"WDYHV1"	101	356	222	197	169	230	74	320	169	80	283	200	122	634	358	128	226	157
"WEE1"	631	37	460	1356	995	768	854	39	208	493	1784	513	1082	409	526	610	883	621
"WEE2"	0	4	0	1	29	1	0	8	0	0	5	4	0	15	5	1	21	0
"WEE2-AS1"	16	13	18	9	50	61	14	11	12	8	120	7	22	20	13	11	44	20
"WFDC1"	58	135	6	44	213	980	31	284	17	53	195	987	150	793	13	44	203	719
"WFDC10A"	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"WFDC10B"	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
"WFDC11"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
"WFDC12"	0	0	0	0	0	1	0	0	0	0	4	6	0	0	0	0	0	24
"WFDC13"	0	0	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	1
"WFDC2"	0	20	0	1	373	802	0	42	0	0	153	56	10	2	2	1	1026	343
"WFDC3"	1	1	0	0	7	3	0	3	0	0	8	1	4	8	1	1	4	3
"WFDC5"	0	0	0	0	1	0	0	0	0	0	9	0	0	0	0	0	0	0
"WFDC6"	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0
"WFDC8"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"WFDC9"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"WFIKKN1"	8	11.45	0	1	7.97	0	0	29.24	0	0	12.56	0	0	7.41	3	0	4.34	7.18
"WFIKKN2"	0	10	44	2	4	88	0	12	50	2	5	3	1	79	63	8	6	83
"WFS1"	429	1238	176	1155	571	2397	339	2212	215	597	1005	1455	506	1697	287	1923	689	2569
"WHAMM"	187	336	429	212	318	588	194	417	520	155	452	359	274	616	724	217	475	419
"WHAMMP1"	460.78	305.12	114.4	152.59	384.7	795.4	465.03	349.49	107.65	238.08	558.51	930.51	747.68	1065.39	102.09	189.71	500	622.85
"WHAMMP2"	39.8	200.41	131.32	124.52	197.99	158.86	77.1	326.4	97.58	73.85	261.52	124.29	148.62	542.42	156.8	155.71	157.29	117.48
"WHAMMP3"	65.42	193.46	81.28	100.9	167.31	190.74	128.86	303.1	88.77	90.07	282.98	175.2	179.7	579.21	81.11	113.58	188.71	163.67
"WHSC1"	650	4050	1076	1548	1203	1992	1009	6228	1061	812	2016	2195	751	7989	1304	1391	1536	1818
"WHSC1L1"	724	3839	757	1206	1706	2539	862	6282	779	734	2283	2565	1078	6356	1071	1079	1859	2061
"WIBG"	398	241	189	130	296	423	257	293	133	79	279	241	251	378	200	79	334	379
"WIF1"	4	1031	0	3	8	1160	0	1417	1	0	0	389	0	417	1	3	20	1778
"WIPF1"	299	1076	231	534	575	2732	113	360	178	695	392	1428	626	605	278	738	767	2452
"WIPF2"	366	2182	145	375	1273	1413	602	3611	251	370	1037	911	460	1848	283	460	1300	1471
"WIPF3"	1	810	294	184	176	83	71	1618	538	144	139	30	25	599	555	162	150	13
"WIPI1"	375	243	1942	1527	884	712	367	283	1491	620	757	679	428	676	2628	933	934	699
"WIPI2"	1319	2500	774	762	1675	1923	1455	3493	613	454	1686	1151	1365	3079	955	700	1904	1625
"WISP1"	91	30	34	110	317	294	32	19	7	54	456	219	775	93	26	158	450	230
"WISP2"	12	4	274	114	0	707	2	12	183	131	0	2299	225	1	355	113	2	522
"WISP3"	0	0	0	0	87	0	0	0	0	0	82	0	0	0	0	1	36	0
"WIZ"	285	546	159	313	478	635	572	1301	363	353	648	597	396	535	276	393	550	568
"WLS"	649	1646	261	1382	3339	2416	482	1949	504	645	5860	1826	778	1028	486	1201	3155	1698
"WNK1"	5820.69	13071.36	6502.54	20216.21	15330.32	13310.5	5357.88	14419.21	10673.57	5794.25	7545.01	10708.18	5833.12	12246.99	12614.45	13488.07	14137.92	13538.52
"WNK2"	62	2153	505	3518	46	172	116	5571	1902	2004	51	48	55	2008	1227	5448	66	36
"WNK3"	5565	1791	6	81	751	103	1850	2084	9	65	986	112	1231	1539	23	86	743	88
"WNK4"	0	0	10	0	1702	4	0	2	2	0	2795	11	8	3	8	4	871	11
"WNT1"	4	0	0	0	0	2	0	4	0	0	1	0	0	0	0	0	0	3
"WNT10A"	4	8	1	0	52	33	0	18	0	0	152	35	4	2	1	0	35	8
"WNT10B"	3	430	4	2	3	8	0	821	8	4	0	29	5	1	3	10	2	5
"WNT11"	33	16	177	58	27	155	113	5	220	48	281	194	66	99	147	71	8	181
"WNT16"	0	46	0	2	3	0	0	59	0	0	2	0	2	45	0	0	0	0
"WNT2"	83	103	3	7	11	1139	18	119	4	8	39	634	39	27	3	6	7	612
"WNT2B"	6	151	10	37	14	202	1	270	6	23	19	423	11	28	8	36	45	179
"WNT3"	94	282	1	14	40	67	207	360	5	14	53	55	110	265	3	35	106	44
"WNT3A"	0	0	0	0	7	226	0	0	0	0	0	106	0	1	0	0	1	232
"WNT4"	24	38	78	0	3	77	12	104	20	1	8	28	10	18	136	2	24	107
"WNT5A"	261	262	396	244	144	506	460	317	409	45	566	301	110	578	368	124	309	617
"WNT5B"	163	96	29	45	49	96	61	151	12	19	28	34	75	56	50	68	38	62
"WNT6"	0	0	5	5	1	1	0	8	1	6	5	4	0	4	2	7	11	0
"WNT7A"	1	261	0	2	2	132	1	365	0	0	28	133	0	70	0	0	8	206
"WNT7B"	0	63	0	0	36	203	0	224	1	0	489	35	7	62	0	0	17	151
"WNT8A"	0	4	0	0	0	0	0	8	0	0	0	0	0	1	0	0	0	0
"WNT8B"	0	0	0	1	18	1	4	1	0	0	0	0	0	1	0	0	28	0
"WNT9A"	1	1	25	4	11	165	0	21	142	18	2	57	1	27	322	16	5	103
"WNT9B"	0	19	2	10	237	2	10	30	0	10	75	3	0	23	1	12	108	7
"WRAP53"	99	166	113	78	146	310	74	171	113	38	107	111	88	236	137	51	162	190
"WRAP73"	114	200	129	117	205	396	186	363	109	115	248	355	154	517	171	134	272	361
"WRB"	405	2047	610	364	666	967	499	2039	377	132	787	398	635	2919	811	343	1048	466
"WRN"	361	565	286	402	480	872	377	657	267	446	869	860	544	1060	364	514	584	733
"WRNIP1"	779	1348	738	604	1031	1342	698	1907	579	361	1376	1045	619	2695	1098	496	1310	1232
"WSB1"	790	1519	830	1928	2748	5959	1095	3060	1039	2155	3751	4675	1796	2661	1124	2655	3303	5675
"WSB2"	1013	8257	3409	2340	1553	2021	1477	12469	2671	1148	3022	1095	1647	5251	3774	1659	1808	1986
"WSCD1"	51	971	975	226	1296	224	34	1434	933	112	2573	51	71	5367	1656	176	1083	37
"WSCD2"	1	1718	14	10	78	42	6	3049	16	1	29	18	7	10503	7	27	94	4
"WT1"	1	0	3	89	648	1	1	3	1	94.27	23	72	15	5	0	136.58	594.17	0
"WT1-AS"	0	0	0	11	57	0	0	0	1	37.73	4	4	1	0	0	44.42	2.83	0
"WTAP"	1173	1974	1701	1131	1889	2742	921	2154	1122	839	2472	1910	1433	3766	2234	1015	2165	2820
"WTAPP1"	0	0	0	0	17	5	10	1	0	1	0	9	15	0	0	0	35	6
"WTH3DI"	0	75.09	4	0	0	1	0	89.6	0	1	0	1.21	0	6.08	2	0	4.44	0
"WTIP"	8	59	68	185	205	400	1	159	62	143	237	259	63	157	70	175	266	236
"WWC1"	484	1522	10	16	5770	1638	1029	2252	1	3	6976	1273	960	1473	40	15	6911	2383
"WWC2"	2165	789	433	1887	4169	4842	2086	1099	433	960	6085	4546	2932	595	574	1454	3858	7768
"WWC2-AS2"	9	13	0	20	29	32	25	11	0	21	90	22	34	3	4	25	62	34
"WWC3"	265	879	276	1691	988	3745	282	1034	313	1556	1451	3960	516	1589	479	2170	1110	3848
"WWOX"	322	375	42	137	595	283	245	430	34	35	711	228	356	908	42	101	617	231
"WWP1"	6802	1664	8171	5050	4135	2257	4329	2228	7936	1264	3444	2204	6367	2030	13675	2654	4354	2213
"WWP2"	872	1566	474	552	2171	3272	788	2337	483	490	2615	1861	868	2374	799	733	2061	3075
"WWTR1"	1187	492	504	1985	5446	6061	941	448	811	3076	4163	6262	1913	896	837	2460	6081	6791
"WWTR1-AS1"	2	0	2	0	3	1	1	0	1	0	5	3	4	0	0	5	3	4
"X04930"	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
"X05128"	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
"X06774"	0	0	0	0	0	10.02	2	0	0.59	1	0	11	1	0	0	2	0	0
"X15673"	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
"X58749"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"X61074"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"X69637"	0	2	0	4	1	8	1	11	0	2	3	11	6	18	1	3	1	1
"X74394"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"X97876"	0	0	1	0.47	0	0.37	0	6.31	0	0	1.43	4	0	1	1	0	0	0
"XAB2"	762	1120	548	406	1177	1375	716	1196	524	278	1211	944	854	1808	592	386	1258	1425
"XAF1"	692	268	122	491	220	1947	1146	401	127	893	377	2558	1057	165	198	985	292	1578
"XAGE1A"	0	0	0	0	0	10.4	0	0	0	0	0	24.8	0	0	0	0	0	8.8
"XAGE1B"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"XAGE1C"	0	0	0	0	0	2.6	0	0	0	0	0	6.2	0	0	0	0	0	2.2
"XAGE1D"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"XAGE2"	0	0	0	0	3	17	0	0	0	0	2	6	0	0	0	0	1	33
"XAGE3"	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	2
"XAGE5"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"XBP1"	22006	1152	947	1373	3373	6643	13165	1095	707	938	2762	2577	17448	1935	1243	1068	2940	5086
"XCL1"	9	0	0	21.01	6	73.35	1	1	1	1	0	15	14	1	5	2	4	26.87
"XCL2"	9	0	0	1.99	0	41.65	0	0	0	0	1	7	4	0	0	1	2	2.13
"XCR1"	1	0	0	0	0	3	0	0	0	0	0	6	0	0	2	0	1	4
"XDH"	9126	0	0	16	36	44	7786	4	0	1	11	62	6406	48	2	6	25	64
"XG"	0	0	43	4	8	13	0	2	20	7	1	40	0	0	60	15	6	3
"XGPY2"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"XIAP"	2437	3535	1945	1825	3839	3031	1924	3675	1585	1211	3375	2364	1793	5039	2649	1285	3397	3623
"XIRP1"	1	19	16011	10208	0	5	3	0	12712	25589	1	15	0	18	25242	11218	0	7
"XIRP2"	0	13	194530	66739	2	13	16	2	196651	14062	0	33	2	20	277101	13353	0	2
"XIST"	0	0	4	54	3	4	7	4	0	81	0	5	2	6	8	101	0	1
"XK"	64	1194	514	555	150	220	76	1543	498	53	144	77	58	1775	928	275	126	145
"XKR3"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
"XKR4"	3	1013	7	107	29	5	6	1748	3	79	15	15	0	1147	8	118	52	12
"XKR5"	0	0	0	3	0	1	0	2	0	0	2	0	1	0	0	0	1	3
"XKR6"	1	101	0	9	24	33	0	377	0	9	25	34	1	498	2	8	22	59
"XKR7"	0	106	0	0	0	1	0	98	0	0	2	0	0	420	0	0	0	0
"XKR8"	194	62	57	47	82	179	221	102	57	51	154	86	204	261	80	67	135	147
"XKR9"	149.25	145.68	11.68	8.96	89	48.05	35.09	161.92	5	3.01	40.08	13	189.18	49.37	52	23.36	75.1	29.45
"XKRX"	0	5	2	0	0	205	0	4	0	0	3	354	4	16	5	0	2	415
"XKRY"	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	4	0
"XPA"	284	422	325	214	594	338	170	466	270	112	880	263	290	719	397	143	571	355
"XPC"	1811	1213	468	533	2392	1954	1259	1031	408	368	1570	1179	1536	1235	602	619	2810	1674
"XPNPEP1"	710	1275	776	1069	1316	1465	547	1699	583	487	1371	1093	691	1991	1136	684	1317	1140
"XPNPEP2"	2938	2	59	18	11822	80	1980	4	21	44	70	70	753	2	12	61	8990	14
"XPNPEP3"	1679	593	653.02	1423.03	1586.06	838.02	1170	612.04	686.15	381	1124	445	1245	746	762	917.05	1277	739
"XPO1"	3318	5268	4057	3335	3522	5796	3061	6717	5018	2252	5033	4513	3252	12442	6073	2762	4024	5658
"XPO4"	1279	1592	17341	5936	1867	2621	983	1936	8353	1038	2012	1740	1177	3175	12807	1856	1832	2794
"XPO5"	689	1222	400	724	1205	1116	798	1517	337	418	1318	988	647	1886	602	510	1324	1087
"XPO6"	1281	2562	370	517	1543	2395	1398	4382	408	463	2073	1799	1256	2530	490	630	1655	2153
"XPO7"	1298	3221	1622	1642	4108	2321	1113	4433	1677	862	2643	1859	1437	4151	2352	1428	3845	2064
"XPOT"	2199	3934	1067	1181	1956	2685	2009	3591	808	757	2130	2447	1497	4745	1464	926	2011	2611
"XPR1"	653	3658	889	5491	3021	2010	553	4604	654	2359	3402	1564	921	3848	1347	2684	3712	2023
"XRCC1"	155	382	186	177	400	676	183	583	200	114	454	374	239	672	208	185	476	601
"XRCC2"	14	40	9	19	17	34	23	54	5	4	17	26	18	45	4	17	9	35
"XRCC3"	100	118	53	38	61	115	101	152	47	33	42	88	46	387	34	32	47	109
"XRCC4"	88	186	25	127	217	348	46	159	26	70	288	169	114	189	75	84	254	316
"XRCC5"	9347	12199	6411	5587	8894	9391	3215	11865	4091	2710	10503	6038	5561	16613	8914	3675	9351	9464
"XRCC6"	4431	6795	6238	4382	5834	6981	2344	7075	3828	1581	6298	3770	3812	9369	6461	2702	6357	7176
"XRCC6BP1"	152	76	380	82	164	63	53	105	142	23	113	39	56	136	283	13	129	112
"XRCC6P5"	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
"XRN1"	3882	1905	3247	2539	2820	4987	4005	2480	2211	1645	4151	3857	3970	4633	4677	2376	3342	4644
"XRN2"	2414	1337	1255	1648	2967	4081	1229	1543	929	957	3029	2432	1968	2875	1793	1188	3334	3602
"XRRA1"	513	528	449	410	764	817	193	530	209	175	410	324	444	907	564	430	799	725
"XXYLT1"	62	272	36	60	213	485	36	297	27	103	585	254	111	390	42	86	201	220
"XXYLT1-AS2"	0	0	0	0	2	17	0	0	0	0	1	3	0	3	3	4	0	0
"XYLB"	2087	67	15	20	1214	97	1928	238	16	18	143	55	1539	329	22	31	1259	81
"XYLT1"	29	2150	174	96	201	1171	47	4526	110	275	224	688	108	2522	305	230	238	817
"XYLT2"	529	536	194	273	699	834	585	702	195	269	1057	647	533	1153	258	302	851	691
"Y00482"	0	0	0	0	0	20.31	0	0	2	0	1	10	4	0	1	1	3.45	0
"Y12839"	0	0	0	0	1	1	0	13	0	0	9	0	0	4	0	0	2	4
"Y16709"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"YAE1D1"	93	250	121	174	214	154	58	250	121	67	241	109	79	364	185	94	229	210
"YAF2"	418	1295	951	1270	371	572	555	1463	710	534	503	452	668	1948	1337	845	520	536
"YAP1"	1509	785	3105	3466	3454	5068	1614	653	2674	1778	4574	4623	2444	1317	3659	2165	4217	5332
"YARS"	1518	4332	554	699	1040	1898	1268	5339	554	352	1098	1275	954	4265	1021	483	1050	1942
"YARS2"	350	457	293	274	333	512	190	584	166	106	387	286	234	419	353	147	362	402
"YBEY"	138	100	84	136	190	171	73	78	40	22	83	64	121	221	109	91	200	102
"YBX1"	4188	1343	15767	7199	5470	8695	1870	1358	9773	2333	6025	4955	3051	4098	18403	3808	6369	9027
"YBX2"	37	14	4	1	24	0	5	34	1	4	18	1	5	4	3	1	20	0
"YBX3"	101	56	24933	1328	513	1558	45	78	22915	1586	593	1965	168	97	35740	1403	672	1657
"YBX3P1"	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
"YDJC"	142	214	24	21	210	242	130	295	25	28	229	112	74	342	20	26	353	171
"YEATS2"	347.75	3384.73	352.49	702.05	896.69	2624.16	382.12	4695.35	292.24	723.33	1993.58	3319.15	587.59	4911.52	552.75	890.14	1157.57	2547.06
"YEATS4"	254	443	311	293	365	308	134	436	190	76	385	204	174	886	365	125	383	381
"YES1"	4319	1244	830	1646	3345	3106	2557	697	469	1329	3498	3419	3896	1929	889	1484	3819	3761
"YIF1A"	1754	370	573	239	752	719	1010	295	458	212	629	345	1084	589	707	213	642	711
"YIF1B"	427	647	227	142	279	563	231	737	170	92	443	247	412	620	282	118	286	439
"YIPF1"	634	619	310	232	656	790	325	805	188	134	568	395	584	544	550	163	668	657
"YIPF2"	456	301	187	88	719	569	476	415	126	150	1217	333	364	493	204	128	599	588
"YIPF3"	1284	1234	851	582	1589	1818	726	1482	564	317	1762	825	1261	1636	1092	533	1554	1796
"YIPF4"	1520	1416	1074	1376	1290	1480	780	1293	826	516	1291	857	1540	2099	1709	735	1386	1542
"YIPF5"	1074	1973	528	858	1492	1809	637	1691	318	488	1903	904	944	2237	782	564	1393	1881
"YIPF6"	2240	2445	1928	1406	2624	2545	1528	2039	1372	668	2996	1538	2017	3579	2901	1062	2623	2762
"YIPF7"	0	5	654	13	1	0	0	7	389	3	0	1	0	61	1095	1	1	0
"YJEFN3"	5	698	13.34	9.34	29.33	29.05	25.15	1385.77	19.81	6	29.35	22.24	6	135.23	7.21	42.72	66.18	23.22
"YKT6"	464	1334	716	650	1241	1296	506	2162	665	474	1492	768	366	1575	983	517	1336	1200
"YLPM1"	1066	2672	632	1634	1910	2453	846	5314	1079	853	2507	2787	1147	5051	1174	1405	2015	2334
"YME1L1"	4888	3772	6675	4072	4600	5071	2619	3895	4837	1493	4799	3101	4088	5564	8741	2463	4700	5280
"YOD1"	564	1664	356	770	1195	639	675	1433	362	498	678	557	539	2132	495	526	871	662
"YPEL1"	101	999	238	229	119	366	267	1688	138	127	206	206	140	657	257	218	188	277
"YPEL2"	1128	2712	2339	1718	1904	1359	1087	3380	1756	868	1239	1017	1272	4068	2756	1221	1670	1307
"YPEL3"	162	1586	762	237	355	861	259	2626	379	159	464	810	347	2305	449	227	517	805
"YPEL4"	8	814	1	5	5	97	7	1192	4	10	14	96	9	1185	3	13	5	65
"YPEL5"	1257	4481	1527	1724	3287	3402	829	4894	674	589	2511	1931	1776	4521	1449	981	4315	3081
"YRDC"	257	289	49	91	302	257	217	371	60	89	319	132	185	560	137	74	300	230
"YTHDC1"	1029	2430	1144	1179	1946	1962	724	2671	935	669	2880	1617	1010	6709	1464	996	2165	1951
"YTHDC2"	1215	1744	971	975	1192	1401	1266	2577	998	588	1641	1372	1362	2101	1329	821	1262	1339
"YTHDF1"	956	1168	1003	591	1071	1197	915	1443	1052	401	1332	743	790	1869	1303	550	1131	1088
"YTHDF2"	1456	2029	1626	1382	2033	2625	1122	2198	1234	627	2515	1343	1564	2717	2192	846	2495	2514
"YTHDF3"	3445	3099	3194	3728	3240	3570	2903	3465	3393	1529	3479	1922	3371	4856	5206	2455	3357	3438
"YWHAB"	2665	17027	2024	3461	5743	8782	1497	20703	1587	1654	5123	4492	2659	10073	3224	2591	6101	8358
"YWHAE"	3860	10395	4751	4921	5557	5663	2020	14513	4640	1511	5431	3630	3087	13200	7227	2577	5606	5220
"YWHAG"	2361	30297	9013	6087	2857	4180	1887	43180	8562	1785	3315	2161	2091	13698	13304	3057	2991	4480
"YWHAH"	620	24641	976	1038	1220	5246	481	36317	575	753	1817	2323	925	17207	1265	1154	1659	5277
"YWHAQ"	2824	10546	1027	2366	4863	5513	1296	9665	681	1823	5688	3500	2704	18373	1396	2476	5432	5319
"YWHAZ"	3312	27959	2378	5324	8315	15103	2079	37908	1780	3315	7622	8489	5151	22671	3109	4657	9914	14810
"YY1"	2433	2092	1196	1295	2022	2632	1565	2460	1040	809	2227	2006	2016	2935	1538	1023	2294	2352
"YY1AP1"	967.61	1840.46	1971.29	1322.77	1175.08	1842.89	749.39	2549.07	1586.76	587.83	1342.28	1559.9	950.14	3582.32	2304.8	941.14	1364.67	1772.51
"YY1P2"	0	8	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
"YY2"	50	14	25	28	52	88	78	60	26	41	109	68	79	83	41	32	60	52
"Y_RNA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Z22690"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Z24749"	537.37	404.15	224.08	1388.65	2747.62	1417.8	286.66	47.14	72.86	655.29	785.17	1257.4	633.74	297.89	166.11	677.89	3088.12	1187.9
"Z49973"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Z49979"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Z49981"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Z49982"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Z49985"	0	0	1	3	2	0	1	2	0	0	1	1	0	3	3	0	0	1
"Z70701"	0.44	0	0	3.66	0.95	0.11	3.2	0.17	0.55	11.46	8.45	5.15	0.24	0	0	0.02	0	1.02
"ZACN"	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0
"ZADH2"	1689	1936	2395	2051	1907	1085	1254	2045	1780	519	1918	871	1032	2293	2405	1094	1606	1146
"ZAK"	1741	696	35757	24481	682	4802	1200	783	25568	4608	1402	4496	2678	1645	62505	11871	1034	3509
"ZAN"	4	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0
"ZAP70"	56	9	9	9	34	199	29	8	3	6	12	285	43	10	27	10	31	188
"ZAR1"	0	0	0	0	0	4	0	2	0	0	0	1	0	3	1	0	0	11
"ZAR1L"	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ZASP"	1.99	0	0	0	0	0	2.59	0	2.43	6.04	0	22.94	6.12	0	0	0.36	0	0
"ZBBX"	0	210	0	0	9	661	0	376	1	0	22	16	0	6	0	0	23	176
"ZBED1"	2424	1164	1725	2555	2005	3041	3311	1633	2281	1471	1781	1267	3396	2837	4583	2845	3690	1550
"ZBED2"	0	6	1	2	5	220	0	0	0	0	15	164	0	0	0	0	17	397
"ZBED3"	105	58	2	22	71	73	205	44	20	27	116	78	66	33	16	31	80	68
"ZBED3-AS1"	17	23	3	3	44	47	15	28	3	4	82	29	10	33	2	7	43	42
"ZBED4"	406	367	240	311	627	914	630	631	311	257	1373	651	345	1337	421	295	680	797
"ZBED5"	332	1659	1301	1393	1376	1464	484	1738	924	746	1868.37	1057	626	4038.53	1702.55	1064	1443	1326
"ZBED5-AS1"	158	65	101	102	538	229	97	71	91	25	468	37	89	149	156	65	417	117
"ZBED6"	979.85	355.23	699.27	696.12	1218.89	1395.93	1407.55	640.18	448.66	629	1325.05	1866	1338.15	924.39	920.42	798.38	1449.87	1435.58
"ZBED6CL"	261	67	10	39	135	147	394	73	35	14	336	95	197	51	10	18	154	215
"ZBP1"	10	3	0	1	8	63	0	1	1	0	2	55	25	10	0	3	8	38
"ZBTB1"	618	1061	966.65	1105	1215	2424.86	671	1008	661	850.41	2266.72	1681.87	1157	1656.8	1465	1177.87	1593	1954
"ZBTB10"	2909	1856	1414	2638	3301	2537	2838	2114	1481	1992	3292	2061	3598	6038	2089	2407	3406	2546
"ZBTB11"	1095	3112	1672	938	1315	1994	753	3432	1078	638	1776	1713	1083	4931	2046	751	1417	2282
"ZBTB11-AS1"	35	69	24	68	144	152	112	94	52	51	147	114	83	103	59	70	174	153
"ZBTB12"	14	51	14	10	37	36	8	79	16	5	45	39	7	99	7	20	35	43
"ZBTB14"	512	688	343	313	632	730	360	736	206	236	689	463	448	1352	431	283	657	543
"ZBTB16"	1240	1725	1224	897	419	1443	1167	3024	2393	660	715	2634	1156	938	1989	919	409	915
"ZBTB17"	252	645	495	249	418	599	259	876	423	227	584	556	230	892	579	205	381	496
"ZBTB18"	643.27	5718.06	3503.91	947.22	1119.69	773.65	1036.62	8926.82	2625.01	484.72	1299.04	503.36	941.79	40487.5	5053.83	606.72	1176.17	688.84
"ZBTB2"	289	326	541	210	400	627	173	345	313	177	434	350	252	590	521	222	504	557
"ZBTB20"	1629	1148	1560	1707	2462	1467	1846	1304	1429	1380	2957	1768	2114	3798	2100	1891	2568	1381
"ZBTB20-AS1"	0	0	1	0	0	0	0	1	3	0	0	0	2	0	1	0	0	0
"ZBTB21"	513	2022	355	483	955	1222	673	2252	272	615	1360	980	995	1979	540	680	1081	1747
"ZBTB22"	211	721	131	180	402	625	130	943	92	128	563	233	190	772	101	185	617	562
"ZBTB24"	322	956.51	290	225	769	868	309	1044.29	243	201	1076	416	325	1374	504	235	833	852
"ZBTB25"	119	286	165	245	186	301	151	345	171	145	306	297	182	523	277	240	219	251
"ZBTB26"	66	200	103	91	139	241	106	164	157	91	249	187	124	378	162	103	194	149
"ZBTB3"	186	356	78	158	271	306	145	307	127	85	379	169	138	366	160	146	317	250
"ZBTB32"	3	7	0	0	0	1	0	2	0	0	0	21	3	1	0	0	0	3
"ZBTB33"	1321	1985	717	737	1086	2120	1109	1974	557	558	1362	1067	1351	3118	976	565	1201	2358
"ZBTB34"	153	724	370	376	581	1081	373	914	359	401	775	828	294	1999	469	521	718	1025
"ZBTB37"	168	318	126	279	503	355	163	412	126	115	609	483	254	570	123	272	474	383
"ZBTB38"	1856	6706	4019	6444	4597	6949	1535	7017	3761	2536	6481	6114	3454	12898	6907	4388	5574	6333
"ZBTB39"	188	382	155	214	315	380	426	496	194	197	474	321	289	773	253	299	400	318
"ZBTB4"	446	4423	1372	2134	2610	4360	517	6763	1569	1585	3445	3049	711	6466	2040	2285	2729	4471
"ZBTB40"	653	1349	1015	1317	2293	2351	981	1876	1114	676	1921	2148	697	2746	1684	1258	2262	2282
"ZBTB41"	985	3380	958	1551	2049	1927	850	3255	978	992	1933	1232	1467	5738	1490	1104	2278	1908
"ZBTB42"	132	20	59	65	263	316	374	21	60	115	181	113	250	23	121	109	191	273
"ZBTB43"	503	1330	1696	1776	652	858	754	1813	1954	617	819	610	684	2286	2423	1330	738	1008
